Mesec,Denarnica: (Ves svet)
2004-01,16
2004-02,15
2004-03,14
2004-04,15
2004-05,16
2004-06,15
2004-07,15
2004-08,15
2004-09,16
2004-10,13
2004-11,18
2004-12,22
2005-01,16
2005-02,16
2005-03,15
2005-04,15
2005-05,14
2005-06,15
2005-07,15
2005-08,16
2005-09,15
2005-10,15
2005-11,18
2005-12,24
2006-01,17
2006-02,15
2006-03,16
2006-04,15
2006-05,16
2006-06,15
2006-07,16
2006-08,17
2006-09,16
2006-10,16
2006-11,19
2006-12,25
2007-01,19
2007-02,17
2007-03,16
2007-04,17
2007-05,17
2007-06,17
2007-07,18
2007-08,19
2007-09,18
2007-10,19
2007-11,21
2007-12,30
2008-01,21
2008-02,19
2008-03,18
2008-04,18
2008-05,19
2008-06,19
2008-07,19
2008-08,20
2008-09,19
2008-10,19
2008-11,23
2008-12,30
2009-01,22
2009-02,20
2009-03,20
2009-04,19
2009-05,20
2009-06,20
2009-07,21
2009-08,22
2009-09,21
2009-10,22
2009-11,24
2009-12,32
2010-01,23
2010-02,24
2010-03,22
2010-04,21
2010-05,21
2010-06,24
2010-07,23
2010-08,24
2010-09,22
2010-10,22
2010-11,25
2010-12,33
2011-01,25
2011-02,25
2011-03,24
2011-04,25
2011-05,24
2011-06,25
2011-07,26
2011-08,29
2011-09,27
2011-10,28
2011-11,31
2011-12,41
2012-01,32
2012-02,31
2012-03,30
2012-04,29
2012-05,29
2012-06,31
2012-07,32
2012-08,34
2012-09,33
2012-10,31
2012-11,35
2012-12,51
2013-01,38
2013-02,37
2013-03,37
2013-04,34
2013-05,34
2013-06,34
2013-07,36
2013-08,37
2013-09,35
2013-10,36
2013-11,41
2013-12,55
2014-01,41
2014-02,41
2014-03,39
2014-04,36
2014-05,38
2014-06,37
2014-07,39
2014-08,40
2014-09,42
2014-10,39
2014-11,45
2014-12,58
2015-01,47
2015-02,44
2015-03,42
2015-04,42
2015-05,42
2015-06,43
2015-07,45
2015-08,46
2015-09,43
2015-10,44
2015-11,52
2015-12,69
2016-01,51
2016-02,48
2016-03,45
2016-04,43
2016-05,43
2016-06,46
2016-07,47
2016-08,44
2016-09,47
2016-10,45
2016-11,52
2016-12,65
2017-01,58
2017-02,49
2017-03,48
2017-04,45
2017-05,49
2017-06,53
2017-07,51
2017-08,56
2017-09,58
2017-10,56
2017-11,65
2017-12,100
2018-01,82
2018-02,64
2018-03,54
2018-04,52
2018-05,51
2018-06,49
2018-07,51
2018-08,52
2018-09,51
2018-10,48
2018-11,60
2018-12,76
2019-01,66
2019-02,56
2019-03,52
2019-04,48
2019-05,52
2019-06,55
2019-07,55
2019-08,55
2019-09,55
2019-10,54
2019-11,61
2019-12,78
2020-01,63
2020-02,56
2020-03,48
2020-04,43
2020-05,48
2020-06,58
2020-07,55
2020-08,56
2020-09,55
2020-10,51
2020-11,63
2020-12,73
2021-01,67
2021-02,67
2021-03,60
2021-04,65
2021-05,68
2021-06,60
2021-07,61
2021-08,66
2021-09,66
2021-10,73
2021-11,82
2021-12,96
2022-01,87
2022-02,74
2022-03,74
2022-04,70
2022-05,69
2022-06,63
2022-07,67
2022-08,67
2022-09,69
2022-10,62
2022-11,72
2022-12,80
2023-01,71
2023-02,66
2023-03,71
2023-04,68
2023-05,68
2023-06,69
2023-07,73
2023-08,70
2023-09,66
2023-10,68
2023-11,75
2023-12,94
2024-01,78
2024-02,74
2024-03,81
